County,Census_2020,WP_2045_Forecast,Abs_Change,Pct_Change
Androscoggin,111139,116772,5633,0.050684278
Aroostook,67105,66665,-440,-0.006556888
Cumberland,303069,342490,39421,0.13007269
Franklin,29456,30231,775,0.026310429
Hancock,55478,56164,686,0.012365262
Kennebec,123642,130389,6747,0.054568836
Knox,40607,41286,679,0.016721255
Lincoln,35237,36664,1427,0.040497205
Oxford,57777,61480,3703,0.064091247
Penobscot,152199,153170,971,0.006379805
Piscataquis,16800,16788,-12,-0.000714286
Sagadahoc,36699,37961,1262,0.034387858
Somerset,50477,51575,1098,0.021752481
Waldo,39607,42930,3323,0.083899311
Washington,31095,31037,-58,-0.001865252
York,211972,230598,18626,0.087870096
New_Hampshire,1377529,1494360,116831,0.084812008
Massachusetts,7029917,7398402,368485,0.052416693
CT_RI_VT,5346400,5483198,136798,0.025586937
Outside_New_England,316333076,369517388,53184312,0.168127572