Work_Location,H_Androscoggin,H_Aroostook,H_Cumberland,H_Franklin,H_Hancock,H_Kennebec,H_Knox,H_Lincoln,H_Oxford,H_Penobscot,H_Piscataquis,H_Sagadahoc,H_Somerset,H_Waldo,H_Washington,H_York,H_NH,H_MA,H_CtRiVt,H-RestUS
Androscoggin County,0.542304376975385000000000000000,0.008110984695562810000000000000,0.042970478851654400000000000000,0.094706206245575400000000000000,0.012703115180896000000000000000,0.077139599515427900000000000000,0.012432817457747800000000000000,0.030358526449249800000000000000,0.160621370937335000000000000000,0.014343078131251000000000000000,0.016034535923527600000000000000,0.072869262318107800000000000000,0.036094340442166500000000000000,0.011933174224343700000000000000,0.009779727630015540000000000000,0.023460055318891200000000000000,0.000614140224911169000000000000,0.000063687118609119000000000000,0.000024325825692299000000000000,0.000001635107724984690000000000
Aroostook County,0.001704817546212050000000000000,0.803281095166440000000000000000,0.001565565486217080000000000000,0.004562259104853300000000000000,0.005027381273004760000000000000,0.001674624100334920000000000000,0.005439357637764680000000000000,0.001620060576178070000000000000,0.004260613830027900000000000000,0.015143208522870400000000000000,0.015263644773358000000000000000,0.001404573290634310000000000000,0.004256612952265130000000000000,0.005778168571787460000000000000,0.053468604332327900000000000000,0.001665623548888570000000000000,0.000053772646420793600000000000,0.000019420287288879300000000000,0.000011963520832278200000000000,0.000003844712758747790000000000
Cumberland County,0.216377741595633000000000000000,0.025397291444929700000000000000,0.767437559038994000000000000000,0.104617320852670000000000000000,0.053775024688033000000000000000,0.097805173519561000000000000000,0.064300977789289600000000000000,0.157709375220117000000000000000,0.178531030842320000000000000000,0.047089155269747700000000000000,0.054887449892075200000000000000,0.372492836676218000000000000000,0.085740346609911800000000000000,0.056588368295440300000000000000,0.030253176126496700000000000000,0.298651349659809000000000000000,0.003342394495945120000000000000,0.000431530207257304000000000000,0.000160311179152528000000000000,0.000010134721754860100000000000
Franklin County,0.012259362130064200000000000000,0.002532388886849930000000000000,0.002662121902723560000000000000,0.451742311020216000000000000000,0.005700691264925040000000000000,0.014572792702914600000000000000,0.007511493880722660000000000000,0.004367119814045220000000000000,0.021265364602971100000000000000,0.005674998888707790000000000000,0.006167129201356770000000000000,0.003539524692398450000000000000,0.035833731485905400000000000000,0.007662353975631200000000000000,0.003930170916735220000000000000,0.002251115463043350000000000000,0.000191034401758083000000000000,0.000022561804350315700000000000,0.000006380544443881720000000000,0.000000478747757315338000000000
Hancock County,0.002624269705966860000000000000,0.010533269717767100000000000000,0.002331833825462570000000000000,0.010540391725005900000000000000,0.638881407666756000000000000000,0.004525048100905010000000000000,0.015735284594962100000000000000,0.003521870817778400000000000000,0.005542568433753110000000000000,0.037591311176636200000000000000,0.019118100524206000000000000000,0.003427158829147700000000000000,0.011423359249446200000000000000,0.039567893480718500000000000000,0.072845260945069000000000000000,0.002029032323191540000000000000,0.000116035710697502000000000000,0.000023704174190838000000000000,0.000001993920138713040000000000,0.000001679299825659950000000000
Kennebec County,0.060396513743894300000000000000,0.024039343780966700000000000000,0.023608991762615400000000000000,0.091009203177849400000000000000,0.034204147589550200000000000000,0.596932231169386000000000000000,0.059638671242634200000000000000,0.109952806931042000000000000000,0.040947138224869900000000000000,0.054201425417475400000000000000,0.053037311131668200000000000000,0.084667677959435900000000000000,0.228597489467055000000000000000,0.102813716869740000000000000000,0.025957407915181400000000000000,0.015030990692697500000000000000,0.000390559221372080000000000000,0.000063687118609119000000000000,0.000025522177775526900000000000,0.000002334815985676340000000000
Knox County,0.003716119145675700000000000000,0.004330752009395530000000000000,0.004445677519932890000000000000,0.011484307401872100000000000000,0.015037256486219600000000000000,0.011455141452291000000000000000,0.621122838826653000000000000000,0.098119320983306300000000000000,0.008370409471382250000000000000,0.009364489027841570000000000000,0.012025901942645700000000000000,0.014270464632844500000000000000,0.009512226903531250000000000000,0.094272076372315000000000000000,0.004752764829540260000000000000,0.003008217076174520000000000000,0.000072168551775275600000000000,0.000030843985694102500000000000,0.000014755009026476500000000000,0.000001215282768569700000000000
Lincoln County,0.004788813332056320000000000000,0.001284545087532570000000000000,0.004524946658475520000000000000,0.008416581452056950000000000000,0.006912649250381540000000000000,0.014091783652818400000000000000,0.051932914589134200000000000000,0.395506092836515000000000000000,0.006108136641278940000000000000,0.003126435419105340000000000000,0.005704594511255010000000000000,0.035058149334232300000000000000,0.005212179125222600000000000000,0.013314910187162400000000000000,0.001553788501965090000000000000,0.002584240172821060000000000000,0.000052357576778141100000000000,0.000011709290865353700000000000,0.000005582976388396500000000000,0.000000655516160016385000000000
Oxford County,0.027506943779331500000000000000,0.003927037839028150000000000000,0.009849190463922630000000000000,0.053252576103201500000000000000,0.004398958613879160000000000000,0.007197320601439460000000000000,0.004273781001100820000000000000,0.009297738958934990000000000000,0.376102858004675000000000000000,0.003467231697017290000000000000,0.004933703361085410000000000000,0.007472329906174500000000000000,0.013768839855796400000000000000,0.003705564627559350000000000000,0.004204368887670230000000000000,0.008348307120793040000000000000,0.000800929417741294000000000000,0.000054833752345071100000000000,0.000020736769442615600000000000,0.000001045879715981200000000000
Penobscot County,0.018427353701752700000000000000,0.068484603809593700000000000000,0.013845676198780600000000000000,0.036262093919609800000000000000,0.136951252356585000000000000000,0.033278700206655700000000000000,0.044939454769151100000000000000,0.017468479256180900000000000000,0.030201342281879200000000000000,0.718946791328957000000000000000,0.219858156028369000000000000000,0.014832293949098300000000000000,0.110367892976589000000000000000,0.164049742494661000000000000000,0.087651951375559800000000000000,0.011326240132442300000000000000,0.000358012619591073000000000000,0.000052549012664026500000000000,0.000026718529858754700000000000,0.000003380695701657540000000000
Piscataquis County,0.000632123359831434000000000000,0.002752596616141230000000000000,0.000435980261984503000000000000,0.003854322347203650000000000000,0.003635873956369510000000000000,0.001353951400270790000000000000,0.002784433076474780000000000000,0.000774811579911249000000000000,0.001470477339567150000000000000,0.015232111899717000000000000000,0.497070613629356000000000000000,0.001067475700882070000000000000,0.013942579159970500000000000000,0.003768370807687480000000000000,0.003564573622155200000000000000,0.000555207849629525000000000000,0.000016980835711829600000000000,0.000001999147220914050000000000,0.000000797568055485215000000000,0.000000265152604051572000000000
Sagadahoc County,0.044363566708169700000000000000,0.001284545087532570000000000000,0.020081515097468000000000000000,0.009517816408400850000000000000,0.004668282610647280000000000000,0.034971139456994200000000000000,0.012238554684970500000000000000,0.092413890258505300000000000000,0.007691727622351260000000000000,0.003067166501207600000000000000,0.003237742830712300000000000000,0.327153210854542000000000000000,0.011553663727576800000000000000,0.008918477578193690000000000000,0.001279590531030070000000000000,0.004825260947689330000000000000,0.000086319248201800300000000000,0.000016564362687573600000000000,0.000009969600693565180000000000,0.000000471382407202794000000000
Somerset County,0.006110525811703860000000000000,0.005982309979080270000000000000,0.002833871702899270000000000000,0.048532997718870500000000000000,0.010772959870724500000000000000,0.046996365709399300000000000000,0.008353299229424340000000000000,0.007184616468267940000000000000,0.013837568810798600000000000000,0.022225844211649300000000000000,0.046716003700277500000000000000,0.004775549188156640000000000000,0.368805107935543000000000000000,0.025310890591634200000000000000,0.013070103281235700000000000000,0.002705376430922050000000000000,0.000106130223198935000000000000,0.000013422845626137200000000000,0.000007178112499366930000000000,0.000000758631061591996000000000
Waldo County,0.002451872426012830000000000000,0.002972804345432520000000000000,0.002338439587007790000000000000,0.006292771179108000000000000000,0.021680581739833000000000000000,0.009976484001995300000000000000,0.054717347665609000000000000000,0.008311615129957030000000000000,0.004072091094185960000000000000,0.016017425061861900000000000000,0.009867406722170830000000000000,0.005393561436035730000000000000,0.013247621943274100000000000000,0.428714985554579000000000000000,0.012521707339365700000000000000,0.001635339484363330000000000000,0.000055187716063446100000000000,0.000021133842049662800000000000,0.000002791488194198250000000000,0.000000478747757315338000000000
Washington County,0.000996073173067714000000000000,0.015010826880023500000000000000,0.000720028008428952000000000000,0.001179894596082750000000000000,0.017102073794775100000000000000,0.000766051450153210000000000000,0.007252476850352910000000000000,0.001479185743466930000000000000,0.001357363698061990000000000000,0.010031264354191100000000000000,0.007863089731729880000000000000,0.000674195179504467000000000000,0.002128306476132560000000000000,0.006406230373068710000000000000,0.649483593821406000000000000000,0.000656154731380348000000000000,0.000018395905354482000000000000,0.000005711849202611570000000000,0.000002392704166455640000000000,0.000000743900361366909000000000
York County,0.021070778661047800000000000000,0.004294050721180310000000000000,0.060568227608119800000000000000,0.028317470305986000000000000000,0.012299129185743800000000000000,0.014269935152854000000000000000,0.012109046169785700000000000000,0.024582658308093300000000000000,0.041173365507880200000000000000,0.007838314391974990000000000000,0.011255010792476100000000000000,0.020001123658632500000000000000,0.017547669721582800000000000000,0.010802662982037400000000000000,0.005209761447765290000000000000,0.435727120389251000000000000000,0.007062612586478440000000000000,0.000230473115325377000000000000,0.000053835843745252000000000000,0.000004286633765500410000000000
New Hampshire,0.006972512211474000000000000000,0.002642492751495580000000000000,0.013673926398604900000000000000,0.019192952096279400000000000000,0.003725648621958880000000000000,0.005522696501104540000000000000,0.002978695849252090000000000000,0.006480242304712260000000000000,0.080763140034688200000000000000,0.004163641482315640000000000000,0.004933703361085410000000000000,0.005730659025787970000000000000,0.015636537375667800000000000000,0.003391533726918730000000000000,0.004478566858605250000000000000,0.149956592840847000000000000000,0.805962820460209000000000000000,0.013168097151700700000000000000,0.008125224565255620000000000000,0.000037519093473297400000000000
Massachusetts,0.015649841969160000000000000000,0.003890336550812930000000000000,0.015827404662346500000000000000,0.004011641626681350000000000000,0.003411437292396090000000000000,0.015499180503099800000000000000,0.003690992682768890000000000000,0.018454603085158800000000000000,0.003657341075333690000000000000,0.003778393515980380000000000000,0.004625346901017580000000000000,0.015394123265352000000000000000,0.003431351257438210000000000000,0.003705564627559350000000000000,0.005392560095055300000000000000,0.025115584179604700000000000000,0.151068589840649000000000000000,0.945775130779927000000000000000,0.052308102134970100000000000000,0.000379948950905677000000000000
CT-RI-VT,0.002739201225936210000000000000,0.001137739934671710000000000000,0.002853688987534930000000000000,0.006292771179108000000000000000,0.002019929975760840000000000000,0.003473954250694790000000000000,0.002331153273327720000000000000,0.004085370148622950000000000000,0.007578613980846090000000000000,0.001585443553764320000000000000,0.001695960530373110000000000000,0.002303500196640260000000000000,0.006124310472136560000000000000,0.001632960683331240000000000000,0.001370989854675080000000000000,0.002977933011649270000000000000,0.020337380904201200000000000000,0.026674906961116300000000000000,0.886056237321160000000000000000,0.000734119176417451000000000000
Outside New England,0.008907192797624750000000000000,0.008110984695562810000000000000,0.007424875976826990000000000000,0.006214111539369150000000000000,0.007092198581560280000000000000,0.008497826551699560000000000000,0.006216408728873920000000000000,0.008311615129957030000000000000,0.006447477565794430000000000000,0.007112270147727780000000000000,0.005704594511255010000000000000,0.007472329906174500000000000000,0.006775832862789380000000000000,0.007662353975631200000000000000,0.009231331688145510000000000000,0.007490258625911050000000000000,0.009294177412941380000000000000,0.013318033193269300000000000000,0.053135180208508200000000000000,0.996102912236602000000000000000
